reviewId,rating,text,date
review_0000,2,App crashes every time I try to check my portfolio. This has been happening for 3 days. Very frustrating experience.,2026-01-29
review_0001,1,The app freezes when I switch between mutual fund and stocks tabs. Restarting fixes it but it keeps coming back.,2026-01-07
review_0002,2,Loading times are terrible. The dashboard takes 15 to 20 seconds to load even on a 5G connection.,2026-02-16
review_0003,3,App was great earlier but after the last update it has become slow. Hope they fix this soon.,2026-01-07
review_0004,1,Keeps logging me out automatically. I have to login again and again. Very annoying during market hours.,2026-02-03
review_0005,2,Charts do not load properly on my phone. The candlestick view just shows a blank screen half the time.,2026-02-21
review_0006,1,App crashes when I try to place a limit order. Lost a good entry point because of this bug.,2026-01-26
review_0007,3,"Performance is inconsistent. Sometimes blazing fast, sometimes painfully slow. Needs optimization.",2026-03-13
review_0008,2,Push notifications for SIP execution do not arrive on time. I only know after checking manually.,2026-02-02
review_0009,1,"Black screen after login. Cleared cache, reinstalled, nothing works. Please fix this urgently.",2026-03-01
review_0010,3,The new UI is confusing. I cannot find where to check my investment returns like before.,2026-01-30
review_0011,4,Love the overall design but the font size in the portfolio section is too small for my eyes.,2026-02-12
review_0012,2,It is hard to find the SIP details page. Too many taps to reach basic information I need daily.,2026-01-25
review_0013,3,The dark mode looks good but some text is barely readable against the dark background.,2026-03-14
review_0014,4,Good app overall. The discover section helps me find new funds. Wish the search was a bit smarter.,2026-03-07
review_0015,3,Navigation could be more intuitive. Why is watchlist buried so deep? Should be on the home screen.,2026-02-17
review_0016,5,Clean and minimal interface. Easy to use for beginners. My mother who is 55 can use it without help.,2026-01-21
review_0017,2,The portfolio graph is misleading. It does not clearly show returns vs invested amount side by side.,2026-02-13
review_0018,4,Transaction history is well laid out. Easy to download statements. Good for tax filing.,2026-03-06
review_0019,3,Onboarding was smooth but the KYC flow had too many steps. Took me 20 minutes to complete.,2026-03-07
review_0020,5,Best app for SIP investments. Setting up a new SIP takes under 2 minutes. Highly recommended.,2026-01-25
review_0021,4,The fund comparison feature is excellent. Helps me pick the right fund for my goals.,2026-01-28
review_0022,5,Love the US stocks feature. Now I can invest in Apple and Google directly from the same app.,2026-01-30
review_0023,4,Gold investment feature is seamless. The smallest denomination option is great for new investors.,2026-02-08
review_0024,3,"Wish there was a better tax harvesting tool. Other apps offer this feature, Groww should too.",2026-01-20
review_0025,5,Portfolio tracker is top notch. XIRR calculation is accurate and helps me understand my actual returns.,2026-03-01
review_0026,4,"The screener for stocks is very powerful. I can filter by PE ratio, dividend yield, and sector easily.",2026-02-13
review_0027,3,No option to set a target price alert without placing an order. This basic feature is missing.,2026-01-06
review_0028,5,SIP pause feature saved me during a tough month. Love that flexibility. Great product thinking.,2026-01-05
review_0029,4,The mutual fund ratings and analysis reports are helpful for making informed decisions.,2026-02-23
review_0030,2,Cannot invest in international ETFs like Nasdaq 100 anymore. Please bring that option back.,2026-02-28
review_0031,5,Instant redemption on liquid funds is a lifesaver. Money in my account within minutes.,2026-02-23
review_0032,1,Raised a ticket 10 days ago about wrong NAV applied to my SIP. No resolution yet. Very poor support.,2026-01-24
review_0033,1,KYC was rejected without any proper reason. Customer care takes days to respond. Unacceptable.,2026-01-30
review_0034,2,Support chat is useless. The bot keeps giving generic answers. Cannot reach a real human agent.,2026-01-06
review_0035,1,"My redemption request has been stuck for 7 business days. No update, no call back. Pathetic service.",2026-02-22
review_0036,3,Response time from support has improved but resolution quality is still lacking. Need better agents.,2026-01-13
review_0037,1,They debited my account twice for a single SIP payment. It has been 2 weeks and refund is not credited.,2026-02-05
review_0038,2,Help section FAQs are outdated. Does not match the current app interface at all.,2026-02-08
review_0039,4,Had an issue with nominee addition. Support resolved it in 2 days with clear communication. Thank you.,2026-01-19
review_0040,1,Account blocked for no reason during market hours. Could not exit a losing position. Unacceptable.,2026-03-06
review_0041,2,Verification process for bank account change took 5 business days. Too slow for a fintech company.,2026-01-11
review_0042,4,Two factor authentication works well. Feel safe about my investments and personal data.,2026-01-31
review_0043,5,Biometric login is smooth and fast. Much better than entering the full PIN every time.,2026-01-15
review_0044,2,Got a suspicious login attempt notification. Glad the alert came but wish there was a force logout option.,2026-01-25
review_0045,3,App does not support hardware security keys. For an investment app the security should be top tier.,2026-01-08
review_0046,4,Liked how they handled the recent data issue. Transparency and quick communication was appreciated.,2026-01-25
review_0047,1,Received a phishing call claiming to be Groww support asking for OTP. Company should warn users more proactively.,2026-01-15
review_0048,5,Money always arrives on time. Transactions are secure and reliable. Using it for 3 years without any issue.,2026-03-11
review_0049,3,No session timeout setting available. I want the app to auto lock after 5 minutes of inactivity.,2026-03-07
review_0050,2,App crashes every time I try to check my portfolio. This has been happening for 3 days. Very frustrating experience.,2026-01-13
review_0051,1,The app freezes when I switch between mutual fund and stocks tabs. Restarting fixes it but it keeps coming back.,2026-02-24
review_0052,2,Loading times are terrible. The dashboard takes 15 to 20 seconds to load even on a 5G connection.,2026-01-28
review_0053,3,App was great earlier but after the last update it has become slow. Hope they fix this soon.,2026-01-08
